Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas
2015,Erika,TS,9.0,50,511000000,35,"Antilles (particularly Dominica), The Bahamas, Florida"
2015,Joaquin,Category 4,5.0,155,200000000,34,"Lucayan Archipelago (especially The Bahamas), Cuba, Haiti, Southeastern United States (especially Florida and The Carolinas), Bermuda, Azores, Iberian Peninsula, Morocco"
2015,Patricia,Category 5,7.3,215,463000000,13,"Mexico, Texas"
2016,Bonnie,TS,10.0,45,640000,2,"The Bahamas, The Southeastern United States"
2016,Colin,TS,17.54,50,1040000,6,"Yucatan Peninsula, Cuba, East Coast of the United States"
2016,Hermine,Category 1,22.36,50,550000000,5,"Dominican Republic, Cuba, The Bahamas, Florida, East coast of the United States, Atlantic Canada"
2016,Julia,TS,18.0,50,6130000,0,"The Bahamas, Southeastern United States"
2016,Matthew,Category 2,9.0,100,2770000000,12,Florida Peninsula and the First Coast
2016,Nicole,Category 4,6.77,140,15000000,2,"Bermuda, North Atlantic Coastlines"
2017,Cindy,TS,9.46,60,25000000,3,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southern United States, Eastern United States"
2017,Emily,TS,7.19,60,10000000,0,"Louisiana, Florida"
2017,Harvey,Category 4,40.0,130,125000000000,107,"Windward Islands, Suriname, Guyana, Nicaragua, Honduras, Belize, Cayman Islands, Yucatán Peninsula, Southern and Eastern United States (especially Texas and Louisiana)"
2017,Irma,Category 5,21.66,180,77200000000,134,"Cape Verde, Leeward Islands (especially Barbuda, Saint Barthélemy, Anguilla, Saint Martin and the Virgin Islands), Greater Antilles (Cuba and Puerto Rico), Turks and Caicos Islands, Jamaica, The Bahamas, Eastern United States (especially Florida)"
2017,Maria,Category 5,4.33,175,91600000000,3059,Southeastern United States and surrounding areas
2017,Nate,Category 1,10.0,90,737000000,48,"Jamaica, Costa Rica, Central America, Cayman Islands, Cuba, Mexico, East Coast of the United States, Atlantic Canada, St Pierre and Miquelon"
2017,Philipee,TS,10.93,40,100000000,5,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, East Coast of the United States"
2018,Alberto,TS,11.8,65,125000000,18,"Yucatán Peninsula, Cuba, Eastern United States, Canada"
2018,Gordon,TS,12.73,70,250000000,4,"Hispaniola, Cuba, The Bahamas, South Florida, Florida Keys, Gulf Coast of the United States, Arkansas, Missouri, United States East Coast, Southern Ontario"
2018,Florence,Category 4,30.0,150,24200000000,54,"West Africa, Cape Verde, Bermuda, East Coast of the United States (especially the Carolinas), Atlantic Canada"
2018,Michael,Category 5,11.62,160,25500000000,74,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southeastern United States (especially the Florida Panhandle and Georgia), Eastern United States, Eastern Canada, Iberian Peninsula"
2019,Barry,Category 1,16.59,75,900000000,3,"Midwestern United States, Gulf Coast of the United States, Arkansas, Oklahoma, Eastern United States, Eastern Canada"
2019,Dorian,Category 5,15.21,185,5100000000,84,"Lesser Antilles, Puerto Rico, The Bahamas (especially the Abaco Islands and Grand Bahama), Eastern United States (especially Florida, Georgia, South Carolina, and North Carolina), Eastern Canada"
2019,Humberto,Category 3,1.57,125,25000000,2,"Bahamas, East Coast of the United States, Puerto Rico, Bermuda, Atlantic Canada"
2019,Lorenzo,Category 5,8.0,160,367000000,20,"West Africa, Cape Verde, Lesser Antilles, Eastern United States, Azores, the British Isles, France, Germany, Eastern Europe"
2019,Nestor,TS,7.77,60,150000000,3,"Central America, Yucatan Peninsula, Southeastern United States"
2020,Arthur,TS,5.35,60,112000,0,"Cuba, South Florida, The Bahamas, North Carolina, Mid-Atlantic United States, Bermuda"
2020,Bertha,TS,7.4,50,130000,1,Eastern United States (especially Florida and South Carolina)
